Eviction ID,File Date,Neighborhoods - Analysis Boundaries
728,2002,Nob Hill
546,1999,Oceanview/Merced/Ingleside
36,2020,Japantown
286,2005,Lakeshore
432,2013,Russian Hill
442,2000,Portola
288,2007,Outer Mission
216,2009,Russian Hill
559,2000,South of Market
117,2002,Chinatown
1248,2000,Noe Valley
12,2010,Lincoln Park
144,2009,Presidio Heights
624,2014,Noe Valley
1596,2015,Outer Richmond
408,2016,Visitacion Valley
741,2004,Nob Hill
36,2008,Presidio
48,2021,Presidio Heights
192,2019,Financial District/South Beach
229,2006,Presidio Heights
1651,2002,Sunset/Parkside
12,2020,Golden Gate Park
1469,2000,Castro/Upper Market
520,2002,South of Market
1513,2005,
348,2010,Nob Hill
20,2023,Twin Peaks
338,2004,Western Addition
516,2011,Hayes Valley
144,2016,Financial District/South Beach
180,2019,Presidio Heights
2904,2018,Tenderloin
1092,1999,Noe Valley
806,2001,Noe Valley
299,1997,Visitacion Valley
910,2005,Nob Hill
216,2009,North Beach
660,2015,Haight Ashbury
1380,2011,Mission
48,2023,Oceanview/Merced/Ingleside
348,2007,Oceanview/Merced/Ingleside
1404,1997,Hayes Valley
429,1999,Glen Park
715,2000,Presidio Heights
207,2023,South of Market
37,2006,Golden Gate Park
384,2007,North Beach
413,2006,Western Addition
132,2021,Noe Valley
403,2002,Russian Hill
264,2008,West of Twin Peaks
564,2008,Bernal Heights
924,2009,Oceanview/Merced/Ingleside
504,2015,West of Twin Peaks
48,2021,Glen Park
468,2016,Oceanview/Merced/Ingleside
336,2011,Excelsior
708,2017,Russian Hill
2472,2011,Lakeshore
65,2005,Golden Gate Park
2002,1997,Sunset/Parkside
1625,2001,Outer Richmond
962,2005,Sunset/Parkside
2220,2015,Tenderloin
312,2002,Western Addition
168,2020,Russian Hill
540,2014,Bernal Heights
84,2008,Seacliff
546,2000,West of Twin Peaks
312,2005,Bayview Hunters Point
204,2020,Inner Richmond
720,2016,Nob Hill
2132,1997,Castro/Upper Market
2509,2003,Tenderloin
1284,2009,Mission
9,2023,McLaren Park
60,2011,Mission Bay
216,2013,Financial District/South Beach
